clavy_id;recursos;nombre;género;fechas asociadas al nombre
59402;1;Parellada, Pablo;Hombre;1855-1944
59408;2;Cuenca, Carlos Luis de;Hombre;1849-1927
59412;1;Leyda, Rafael;Hombre;1870-1916
59413;2;Serrano de la Pedrosa, Francisco;Hombre;
59419;1;Estevan, Enrique;Hombre;1849-1927
59420;1;Servet, Miguel;Hombre;1511-1553
59421;2;Gener, Pompeyo;Hombre;1848-1920
59423;2;López-Roberts, Mauricio;Hombre;1873-1940
59429;1;Urbano, Ramón A.;Hombre;1865-1913
59466;1;Ribera i Rovira, Ignasi;Hombre;1880-1942
59467;1;Strindberg, August;Hombre;1849-1912
59471;1;Arrieta, Emilio;Hombre;1821-1894
59472;1;Agramonte, Francisco;Hombre;1888-1966
59490;1;Pestaña, Ángel;Hombre;1886-1937
59492;1;Balbontín, José Antonio;Hombre;1893-1977
59494;2;Sediles, Salvador;Hombre;1897-1936
59497;2;Guzmán, Eduardo de;Hombre;1908-1991
59508;2;Frollo, Claudio;Hombre;1874-1923
59510;2;Fernández Villegas, Francisco;Hombre;1856-1916
59516;1;Vallejo, Mariano;Hombre;
59518;2;Ferrándiz, José;Hombre;1853-1927
59520;1;Mestres, Apeles;Hombre;1854-1936
59526;1;Bonnat, Agustín R.;Hombre;1875-1925
59528;4;Ugarte, Manuel;Hombre;1874-1951
59529;1;Nazarli, G.;;
59531;1;Madarasz, E.;Hombre;
59533;1;Kosinka, Grigorìp;Hombre;
59535;1;Ayni, Sadreddine;;
59537;2;Falcón, César;Hombre;1892-1970
59541;2;Magre, Ramón;Hombre;
59542;1;Franco, Ramón;Hombre;
59543;1;Mistral, Emilio;Hombre;
59544;1;Jiménez, Antonio;Hombre;
59553;1;Gómez-Lobo, Arturo;Hombre;
59557;2;Santacruz, Pascual;Hombre;
59564;3;Fabra i Deàs, Nilo María;Hombre;
59566;1;Calderón de la Barca, Pedro;Hombre;1600-1681
59567;2;Martínez Ruiz, José;Hombre;1873-1967
59568;1;Dorregaray y Dominguera, Antonio;Hombre;1823-1882
59569;5;Martínez Baldrich, Roberto;Hombre;1895-1959
59570;1;Fontanals, Laureà;Hombre;1870-1956
59571;2;Cavia, Mariano de;Hombre;1855-1920
59572;2;Ortíz de Pinedo, José;Hombre;1880-1959
59573;1;Gardiner, Fanny Hale;Mujer;
59574;1;Fernández, León;;
59575;1;Rouardt-Valéry, Agathe;Mujer;1906-
59576;1;Burguete, Ricardo;Hombre;1871-1937
59577;1;Gómez Restrepo, Antonio;;1869-1947
59578;3;Goya y Lucientes, Francisco de;Hombre;1746-1828
59579;1;Carayon, Marcel;Hombre;
59580;6;Paso Díaz, Antonio;Hombre;1895-1966
59581;9;Dicenta Alonso, Joaquín;Hombre;1893-1967
59582;1;Penella, Manuel;Hombre;1880-1939
59583;1;San Alejo de Roma;Hombre;
59584;1;Menéndez Pelayo, Enrique;Hombre;
59585;1;Zumalacárregui, Tomás de;Hombre;1788-1835
59586;1;Iparraguirre, José María de;Hombre;1820-1881
59587;1;Stoutz, Andrée de;Hombre;
59588;1;Togores, José de;Hombre;
59589;2;Muñoz San Román, José;Hombre;1876-1954
59597;1;Montero, Eladio;Hombre;1870-1938
59606;1;Losada, Juan Miguel de;Hombre;m. 1856
59607;1;Sarfatti, Margherita;Mujer;
59608;1;Alvarado Quiros, Alejandro;Hombre;1876-1945
59609;1;López, José Francisco;Hombre;
59610;2;Mata Hari;Mujer;1876-1917
59611;2;Loyola, Ignacio de;Hombre;1491-1556
59612;3;Velázquez, Diego;Hombre;1599-1660
59613;1;Prina, Paul;Hombre;
59615;2;Turina, Joaquín;Hombre;
59617;2;Hernández, José;Hombre;1834-1886
59618;1;Candelas, Luis;Hombre;1804-1837
59619;1;Jiménez, Juan Ramón;Hombre;
59620;1;Álvarez Peña, Carlos M.;Hombre;
59621;5;Penagos, Rafael de;Hombre;1889-1954
59631;3;Valencia, Carolina;Mujer;1860-1954
59633;2;Valera Sartorio, Eulogio;Hombre;1868-1955
59635;1;Mira, A.;;
59636;3;López-Marín, Enrique;Hombre;1868-1918
59639;4;Ramos de la Vega, Lola;Mujer;
59640;2;Vivas, Julián;Hombre;
59642;2;Hildegart;Mujer;1914-1933
59643;1;Guerrero, María;Mujer;1867-1928
59645;10;Sáez de Melgar, Faustina;Mujer;1834-1895
59653;2;San Francisco Javier;Hombre;1506-1552
59654;1;Martindale, C. C.;;
59655;2;Valle-Inclán, Ramón del;Hombre;1866-1936
59656;2;Lerroux, Alejandro;Hombre;1864-1949
59657;4;Alomar, Gabriel;Hombre;1873-1941
59658;1;Parada León, Ricardo;Hombre;
59659;6;Ochoa, Enrique;Hombre;1891-1978
59660;1;Leiva Ramírez de Arellano, Francisco;Hombre;1630-1676
59661;1;García Morente, Manuel;Hombre;1886-1942
59662;1;García Cabral, Ernesto;Hombre;1890-1968
59663;1;Rahola, Darío;Hombre;-m. 1940
59664;1;Borjas, Ángel de;Hombre;
59665;1;Jiménez de Cisneros, Francisco;Hombre;1436?-1517
59666;1;Ferrant, Ángel;Hombre;1891-1961
59667;1;Ruiz Picasso, Pablo;Hombre;1881-1973
59668;1;Menéndez, Alejandro;Hombre;
59669;1;Porrúa, Antonio;Hombre;
59670;1;Matos Fragoso, Juan de;Hombre;1608-1689
59671;1;Gamboa, Nicolás de;Hombre;
59672;2;Pasamonte, Jerónimo de;Hombre;(1553- d.1605)
59673;2;Luceño, Tomás;Hombre;1844-1933
59674;1;Murguía, Manuel;Hombre;1833-1923
59675;1;Barcia Caballero, Juan;Hombre;
59676;2;Vázquez Díaz, Daniel;Hombre;1882-1969
59677;1;Keniston, Hayward;Hombre;
59678;1;Gutiérrez Alfaro, Antonio;Hombre;
59679;1;Montoto, Luis;Hombre;1851-1929
59680;1;Amboury, Helda;Mujer;
59681;1;Borrás, Enrique;Hombre;
59682;1;Armiñán, Luis de;Hombre;
59683;1;Aguado de las Marismas, Alejandro María;Hombre;1784-1842
59686;4;Seisdedos, Miguel R.;Hombre;
59689;1;Lujambio, Juan;;
59690;1;Amador, Antonio;;
59695;1;Barthe, Fortunato;Hombre;1885-1962
59697;1;Guyot, Esther;Mujer;
59698;1;Ferres Catalá, Eduardo;;
59702;1;González de la Cámara, José;Hombre;
59705;1;Pi y Margall, Francisco;Hombre;
59706;1;Abelardo, Pedro;Hombre;1079-1142
59707;2;Seguí, Salvador;Hombre;1886-1923
59711;1;Endériz,  Ezequiel;Hombre;1889-1951
59713;1;Karr, Alfonso;;
59714;1;Díez, Galo;Hombre;
59716;1;Puig y Ferrater, Juan;Hombre;
59720;1;Somoza Silva, Lázaro;Hombre;
59724;1;Río del Val, José del;Hombre;
59726;1;Marsa, Ángel;Hombre;
59732;1;Dragomanov, Mykhailo;Hombre;1841-1895
59733;1;Machado, Augusto;Hombre;
59736;1;Leval, Gastón;;
59739;1;Andréiev, Leonid;Hombre;1871-1919
59741;1;Alaiz, Felipe;;
59742;1;Marx, Karl;Hombre;1818-1863
59746;1;Martínez Carrasco, Alfonso;Hombre;
59747;1;Pintado, Fernando;Hombre;
59752;1;Quemades, Salvador;Hombre;
59756;3;Samblancat, Ángel;Hombre;1885-1963
59757;1;Moya del Pino, José;Hombre;1891-1969
59758;5;Varela de Seijas, Enrique;Hombre;18??-1930
59779;1;Urales, Federico;Hombre;1864-1942
59780;4;García Segura, Elías;Hombre;
59783;2;Úbeda, Rogelio;Hombre;
59787;1;Brandao, Raúl;Hombre;
59789;2;Tolstoi, León;Hombre;1828-1910
59793;1;Zola, Émile;Hombre;1840-1902
59794;1;Boixader, Francisco F.;Hombre;
59797;1;Bel, Gil;;
59798;1;Chueca, José;;
59800;1;Polanco, Abraham;Hombre;
59805;2;Gorki, Máximo;Hombre;1868-1936
59807;1;Guillén, Pascual;;
59811;1;Pi y Arsuaga, Francisco;Hombre;1865-1912
59814;1;Gros, Julio;Hombre;
59815;2;Perea, Alfredo;Hombre;1839-1895
59821;1;García y Barbarín, Eugenio;Hombre;
59823;1;Torromé, Rafael;Hombre;1861-1924
59826;1;Álvarez y Álvarez, Fernando;Hombre;
59830;1;Aguirre Ibáñez, Rufino;Hombre;
59834;2;Garrán, Enrique;Hombre;
59847;1;Escudero, Luisa;Mujer;
59849;1;Caballero, Fernán;Mujer;1796-1877
59855;1;Domingo Soler, Amalia;Mujer;1835-1909
59856;1;Anguiz, Antonio;Hombre;
59857;1;Baró, Teodoro;Hombre;1842-1916
59863;2;Antequera Azpiri, Pedro;Hombre;1892-1975
59866;1;Galván;;
59869;1;Palma, Angélica;Mujer;1878-1935
59874;1;Bielyk;;
59876;1;Grave, Jean;Hombre;1854-1939
59879;4;Bolinaga, Josefina;Mujer;
59881;2;Helguera, Jesús de la;Hombre;1910-1971
