clavy_id;titulo;editorial;fecha de publicación;lugar de publicación
59401;La muñeca;El Cuento Semanal;1907;Madrid
59403;El milagro de las rosas;El Cuento Semanal;1907;Madrid
59404;La Moruchita;El Cuento Semanal;1907;Madrid
59405;Luna, lunera;El Cuento Semanal;1907;Madrid
59406;La madrecita;El Cuento Semanal;1907;Madrid
59407;¡Lo que son las cosas!;El Cuento Semanal;1907;Madrid
59409;Las señoritas;El Cuento Semanal;1907;Madrid
59410;El tesoro del castillo;El Cuento Semanal;1907;Madrid
59411;Santificarás las fiestas;El Cuento Semanal;1907;Madrid
59414;Quiero ser santo;El Cuento Semanal;1907 (27-12-1907);Madrid
59415;Pompas de jabón;El Cuento Semanal;1907;Madrid
59416;¡Por malas!;El Cuento Semanal;1907;Madrid
59417;Allende la verdad;El Cuento Semanal;1908;Madrid
59418;Los 52 de 7;El Cuento Semanal;1908;Madrid
59422;Ultimos momentos de Miguel Servet. Novela histórica;El Cuento Semanal;1907 (27-9-1907);Madrid
59424;Las tres reinas;El Cuento Semanal;1907;Madrid
59425;El collar;El Cuento Semanal;1908;Madrid
59426;El cocodrilo azul;El Cuento Semanal;1908;Madrid
59427;Un bonito negocio;El Cuento Semanal;1908;Madrid
59428;Belcebú;El Cuento Semanal;1908 (18-12-1908);Madrid
59430;El barbero del Usía;El Cuento Semanal;1908;Madrid
59431;La bala fría;El Cuento Semanal;1908 (11-12-1908);Madrid
59432;Un amor de provincia;El Cuento Semanal;1908;Madrid
59433;Los cuernos de la luna;El Cuento Semanal;1908;Madrid
59434;Cuesta abajo;El Cuento Semanal;1908;Madrid
59435;La dicha humilde;El Cuento Semanal;1908;Madrid
59436;Embrujamiento;El Cuento Semanal;1908;Madrid
59437;Cómo delinquen los viejos;El Cuento Semanal;1908;Madrid
59438;Corneja siniestra;El Cuento Semanal;1908;Madrid
59439;La cruz y el sol. Episodio histórico de la conquista del Perú;El Cuento Semanal;1908;Marid
59440;Las cuatro mujeres;El Cuento Semanal;1908;Madrid
59441;La fábrica;El Cuento Semanal;1908 (10-4-1908);Madrid
59442;Un fiel amador;El Cuento Semanal;1908;Madrid
59443;Galerna;El Cuento Semanal;1908 (2-10-1908);Madrid
59444;La gañanía;El Cuento Semanal;1908;Madrid
59445;El  "Emperaor";El Cuento Semanal;1908;Madrid
59446;Los enemigos;El Cuento Semanal;1908 (4-12-1908);Madrid
59447;En la cuarta plana;El Cuento Semanal;1908;Madrid
59448;Espíritu puro;El Cuento Semanal;1908;Madrid
59449;Mientras las horas duermen;El Cuento Semanal;1908;Madrid
59450;Madrid goyesco;El Cuento Semanal;1908;Madrid
59451;Mundo subterráneo;El Cuento Semanal;1908 (20-11-1908);Madrid
59452;La muestra;El Cuento Semanal;1908 (24-1-1908);Madrid
59453;El gran simpático;El Cuento Semanal;1908;Madrid
59454;Gerona;El Cuento Semanal;1908;Madrid
59455;Las insaciables;El Cuento Semanal;1908;Madrid
59456;Historia romántica;El Cuento Semanal;1908;Madrid
59457;Un periodista;Ediciones Libertad;[1932];Madrid
59458;Abel mató a Caín;Ediciones Libertad;[1932];Madrid
59459;Noche roja. La tragedia rusa;Ediciones Libertad;[1932];Madrid
59460;El enchufista...;Ediciones Libertad;[1932];Madrid
59461;¿Dónde está Dios?;Ediciones Libertad;[1932];Madrid
59462;El Niño de los Caireles;El Cuento Semanal;1908;Madrid
59463;La ley de fugas;Ediciones Libertad;[1932];Madrid
