clavy_id,"nombre","recursos","género","fechas asociadas al nombre"
59402,"Parellada, Pablo","1","Hombre","1855-1944"
59408,"Cuenca, Carlos Luis de","2","Hombre","1849-1927"
59412,"Leyda, Rafael","1","Hombre","1870-1916"
59413,"Serrano de la Pedrosa, Francisco","2","Hombre",
59419,"Estevan, Enrique","1","Hombre","1849-1927"
59420,"Servet, Miguel","1","Hombre","1511-1553"
59421,"Gener, Pompeyo","2","Hombre","1848-1920"
59423,"López-Roberts, Mauricio","2","Hombre","1873-1940"
59429,"Urbano, Ramón A.","1","Hombre","1865-1913"
59466,"Ribera i Rovira, Ignasi","1","Hombre","1880-1942"
59467,"Strindberg, August","1","Hombre","1849-1912"
59471,"Arrieta, Emilio","1","Hombre","1821-1894"
59472,"Agramonte, Francisco","1","Hombre","1888-1966"
59490,"Pestaña, Ángel","1","Hombre","1886-1937"
59492,"Balbontín, José Antonio","1","Hombre","1893-1977"
59494,"Sediles, Salvador","2","Hombre","1897-1936"
59497,"Guzmán, Eduardo de","2","Hombre","1908-1991"
59508,"Frollo, Claudio","2","Hombre","1874-1923"
59510,"Fernández Villegas, Francisco","2","Hombre","1856-1916"
59516,"Vallejo, Mariano","1","Hombre",
59518,"Ferrándiz, José","2","Hombre","1853-1927"
59520,"Mestres, Apeles","1","Hombre","1854-1936"
59526,"Bonnat, Agustín R.","1","Hombre","1875-1925"
59528,"Ugarte, Manuel","4","Hombre","1874-1951"
59529,"Nazarli, G.","1",,
59531,"Madarasz, E.","1","Hombre",
59533,"Kosinka, Grigorìp","1","Hombre",
59535,"Ayni, Sadreddine","1",,
59537,"Falcón, César","2","Hombre","1892-1970"
59541,"Magre, Ramón","2","Hombre",
59542,"Franco, Ramón","1","Hombre",
59543,"Mistral, Emilio","1","Hombre",
59544,"Jiménez, Antonio","1","Hombre",
59553,"Gómez-Lobo, Arturo","1","Hombre",
59557,"Santacruz, Pascual","2","Hombre",
59564,"Fabra i Deàs, Nilo María","3","Hombre",
59566,"Calderón de la Barca, Pedro","1","Hombre","1600-1681"
59567,"Martínez Ruiz, José","2","Hombre","1873-1967"
59568,"Dorregaray y Dominguera, Antonio","1","Hombre","1823-1882"
59569,"Martínez Baldrich, Roberto","5","Hombre","1895-1959"
59570,"Fontanals, Laureà","1","Hombre","1870-1956"
59571,"Cavia, Mariano de","2","Hombre","1855-1920"
59572,"Ortíz de Pinedo, José","2","Hombre","1880-1959"
59573,"Gardiner, Fanny Hale","1","Mujer",
59574,"Fernández, León","1",,
59575,"Rouardt-Valéry, Agathe","1","Mujer","1906-"
59576,"Burguete, Ricardo","1","Hombre","1871-1937"
