clavy_id,"editorial","fecha de publicación","titulo","lugar de publicación"
59401,"El Cuento Semanal","1907","La muñeca","Madrid"
59403,"El Cuento Semanal","1907","El milagro de las rosas","Madrid"
59404,"El Cuento Semanal","1907","La Moruchita","Madrid"
59405,"El Cuento Semanal","1907","Luna, lunera","Madrid"
59406,"El Cuento Semanal","1907","La madrecita","Madrid"
59407,"El Cuento Semanal","1907","¡Lo que son las cosas!","Madrid"
59409,"El Cuento Semanal","1907","Las señoritas","Madrid"
59410,"El Cuento Semanal","1907","El tesoro del castillo","Madrid"
59411,"El Cuento Semanal","1907","Santificarás las fiestas","Madrid"
59414,"El Cuento Semanal","1907 (27-12-1907)","Quiero ser santo","Madrid"
59415,"El Cuento Semanal","1907","Pompas de jabón","Madrid"
59416,"El Cuento Semanal","1907","¡Por malas!","Madrid"
59417,"El Cuento Semanal","1908","Allende la verdad","Madrid"
59418,"El Cuento Semanal","1908","Los 52 de 7","Madrid"
59422,"El Cuento Semanal","1907 (27-9-1907)","Ultimos momentos de Miguel Servet. Novela histórica","Madrid"
59424,"El Cuento Semanal","1907","Las tres reinas","Madrid"
59425,"El Cuento Semanal","1908","El collar","Madrid"
59426,"El Cuento Semanal","1908","El cocodrilo azul","Madrid"
59427,"El Cuento Semanal","1908","Un bonito negocio","Madrid"
59428,"El Cuento Semanal","1908 (18-12-1908)","Belcebú","Madrid"
59430,"El Cuento Semanal","1908","El barbero del Usía","Madrid"
59431,"El Cuento Semanal","1908 (11-12-1908)","La bala fría","Madrid"
59432,"El Cuento Semanal","1908","Un amor de provincia","Madrid"
59433,"El Cuento Semanal","1908","Los cuernos de la luna","Madrid"
59434,"El Cuento Semanal","1908","Cuesta abajo","Madrid"
59435,"El Cuento Semanal","1908","La dicha humilde","Madrid"
59436,"El Cuento Semanal","1908","Embrujamiento","Madrid"
59437,"El Cuento Semanal","1908","Cómo delinquen los viejos","Madrid"
59438,"El Cuento Semanal","1908","Corneja siniestra","Madrid"
59439,"El Cuento Semanal","1908","La cruz y el sol. Episodio histórico de la conquista del Perú","Marid"
59440,"El Cuento Semanal","1908","Las cuatro mujeres","Madrid"
59441,"El Cuento Semanal","1908 (10-4-1908)","La fábrica","Madrid"
59442,"El Cuento Semanal","1908","Un fiel amador","Madrid"
59443,"El Cuento Semanal","1908 (2-10-1908)","Galerna","Madrid"
59444,"El Cuento Semanal","1908","La gañanía","Madrid"
59445,"El Cuento Semanal","1908","El  ""Emperaor""","Madrid"
59446,"El Cuento Semanal","1908 (4-12-1908)","Los enemigos","Madrid"
59447,"El Cuento Semanal","1908","En la cuarta plana","Madrid"
59448,"El Cuento Semanal","1908","Espíritu puro","Madrid"
59449,"El Cuento Semanal","1908","Mientras las horas duermen","Madrid"
59450,"El Cuento Semanal","1908","Madrid goyesco","Madrid"
59451,"El Cuento Semanal","1908 (20-11-1908)","Mundo subterráneo","Madrid"
59452,"El Cuento Semanal","1908 (24-1-1908)","La muestra","Madrid"
59453,"El Cuento Semanal","1908","El gran simpático","Madrid"
59454,"El Cuento Semanal","1908","Gerona","Madrid"
59455,"El Cuento Semanal","1908","Las insaciables","Madrid"
59456,"El Cuento Semanal","1908","Historia romántica","Madrid"
59457,"Ediciones Libertad","[1932]","Un periodista","Madrid"
59458,"Ediciones Libertad","[1932]","Abel mató a Caín","Madrid"
59459,"Ediciones Libertad","[1932]","Noche roja. La tragedia rusa","Madrid"
59460,"Ediciones Libertad","[1932]","El enchufista...","Madrid"
59461,"Ediciones Libertad","[1932]","¿Dónde está Dios?","Madrid"
59462,"El Cuento Semanal","1908","El Niño de los Caireles","Madrid"
59463,"Ediciones Libertad","[1932]","La ley de fugas","Madrid"
59464,"Ediciones Libertad","[1932]","Infamias","Madrid"
59465,"La Novela Roja","1923","El nihilista","Madrid"
59468,"La Novela Roja","1923","Un criminal","Madrid"
59469,"El Cuento Semanal","1907","La sonrisa de la Gioconda. El último minué. La historia de Otelo","Madrid"
59470,"El Cuento Semanal","[1907]","Desencanto","Madrid"
59473,"El Cuento Semanal","1907","La guitarra. Drama en tres actos","Madrid"
59474,"El Cuento Semanal","1907","La maldita culpa","Madrid"
59475,"El Cuento Semanal","1907","Aventura","Madrid"
59476,"El Cuento Semanal","1907","La cita","Madrid"
59477,"El Cuento Semanal","1907","Reveladoras","Madrid"
59478,"El Cuento Semanal","1907","El alma viajera","Madrid"
59479,"El Cuento Semanal","1907","Cada uno","Madrid"
59480,"El Cuento Semanal","1907","Una letra de cambio","Madrid"
59481,"El Cuento Semanal","1907","Guillermo el apasionado","Madrid"
59482,"El Cuento Semanal","1907","Del Rastro a Maravillas","Madrid"
59483,"El Cuento Semanal","1907","La soledad del campo","Madrid"
59484,"El Cuento Semanal","1907 (15-3-1907)","La caravana","Madrid"
59485,"El Cuento Semanal","1907 (3-5-1907)","Historia de una reina","Madrid"
59486,"El Cuento Semanal","1907","Un sueño","Madrid"
59487,"El Cuento Semanal","1907","Ni amor ni arte","Madrid"
59488,"El Cuento Semanal","1907","La espuma del champagne. Comedia en un acto","Madrid"
59489,"Ediciones Libertad","1932","La caída del dictador","Madrid"
59491,"Ediciones Libertad","1932","Las ánimas benditas","Madrid"
59493,"Ediciones Libertad","[1932]","Las calaveras de plomo","Madrid"
59495,"Ediciones Libertad","[1932]","¡Pero mató a un burgués!","Madrid"
59496,"Ediciones Libertad","1932","Mi dama y mi ""star""","Madrid"
59498,"Ediciones Libertad","[1932]","El confidente","Madrid"
59499,"Ediciones Libertad","[1932]","A tiro limpio","Madrid"
59500,"Ediciones Libertad","[1932]","La bomba","Madrid"
59502,"Ediciones Libertad","[1932]","Un ensayo revolucionario","Madrid"
59503,"El Cuento Semanal","1907","Al ""Jallo""","Madrid"
59504,"El Cuento Semanal","1907","Almas errantes","Madrid"
59505,"El Cuento Semanal","1907","Artemisa","Madrid"
59506,"El Cuento Semanal","1907","La ciencia del dolor","Madrid"
59507,"El Cuento Semanal","1907","Cómo murió Arriaga","Madrid"
59509,"El Cuento Semanal","1907","Confesión","Madrid"
59511,"El Cuento Semanal","1907","La conquista del jándalo","Madrid"
59512,"El Cuento Semanal","1907 (8-11-1907)","El corazón de Jesús","Madrid"
59513,"El Cuento Semanal","1907 (26-7-1907)","Deuda pagada","Madrid"
59514,"El Cuento Semanal","1907","De corazón en corazón","Madrid"
59515,"El Cuento Semanal","1907","El ""Dies Irae"" de San Huberto","Madrid"
59517,"El Cuento Semanal","1907","Don Claudio","Madrid"
59519,"El Cuento Semanal","1907","La espada","Madrid"
59521,"El Cuento Semanal","1907","Frente al mar","Madrid"
59522,"El Cuento Semanal","1907","El fin de una leyenda","Madrid"
59523,"El Cuento Semanal","1907","Un hombre serio","Madrid"
59524,"El Cuento Semanal","1907","Las hijas de don Juan","Madrid"
59525,"El Cuento Semanal","1907 (19-7-1907)","La leyenda del gaucho","Madrid"
59527,"El Cuento Semanal","1907 (6-12-1907)","El literato","Madrid"
59530,"Ediciones Libertad","[1933]","El traidor. Novela revolucionaria caucasiana","Madrid"
59532,"Ediciones Libertad","[1933]","La lucha del soldado rojo","Madrid"
59534,"Ediciones Libertad","[1933]","El crimen de los kulaks","Madrid"
59536,"Ediciones Libertad","[1933]","La muerte del revolucionario Tadjik","Madrid"
59538,"Ediciones Libertad","[1932]","¡La guerra que viene!","Madrid"
59539,"Ediciones Libertad","[1932]","El agente confidencial","Madrid"
59540,"Ediciones Libertad","[1932]","¡Resignación, hermanos!","Madrid"
59545,"El Cuento Semanal","1908 (29-5-1908)","El pecado original","Madrid"
59546,"El Cuento Semanal","1908 (17-8-1908)","Senderos de vida","Madrid"
