clavy_id,"editorial","titulo","lugar de publicaci�n","fecha de publicaci�n"
59401,"El Cuento Semanal","La muñeca",,
59403,"El Cuento Semanal","El milagro de las rosas",,
59404,"El Cuento Semanal","La Moruchita",,
59405,"El Cuento Semanal","Luna, lunera",,
59406,"El Cuento Semanal","La madrecita",,
59407,"El Cuento Semanal","¡Lo que son las cosas!",,
59409,"El Cuento Semanal","Las señoritas",,
59410,"El Cuento Semanal","El tesoro del castillo",,
59411,"El Cuento Semanal","Santificarás las fiestas",,
59414,"El Cuento Semanal","Quiero ser santo",,
59415,"El Cuento Semanal","Pompas de jabón",,
59416,"El Cuento Semanal","¡Por malas!",,
59417,"El Cuento Semanal","Allende la verdad",,
59418,"El Cuento Semanal","Los 52 de 7",,
59422,"El Cuento Semanal","Ultimos momentos de Miguel Servet. Novela histórica",,
59424,"El Cuento Semanal","Las tres reinas",,
59425,"El Cuento Semanal","El collar",,
59426,"El Cuento Semanal","El cocodrilo azul",,
59427,"El Cuento Semanal","Un bonito negocio",,
59428,"El Cuento Semanal","Belcebú",,
59430,"El Cuento Semanal","El barbero del Usía",,
59431,"El Cuento Semanal","La bala fría",,
59432,"El Cuento Semanal","Un amor de provincia",,
59433,"El Cuento Semanal","Los cuernos de la luna",,
59434,"El Cuento Semanal","Cuesta abajo",,
59435,"El Cuento Semanal","La dicha humilde",,
59436,"El Cuento Semanal","Embrujamiento",,
59437,"El Cuento Semanal","Cómo delinquen los viejos",,
59438,"El Cuento Semanal","Corneja siniestra",,
59439,"El Cuento Semanal","La cruz y el sol. Episodio histórico de la conquista del Perú",,
59440,"El Cuento Semanal","Las cuatro mujeres",,
59441,"El Cuento Semanal","La fábrica",,
59442,"El Cuento Semanal","Un fiel amador",,
59443,"El Cuento Semanal","Galerna",,
59444,"El Cuento Semanal","La gañanía",,
59445,"El Cuento Semanal","El  ""Emperaor""",,
59446,"El Cuento Semanal","Los enemigos",,
59447,"El Cuento Semanal","En la cuarta plana",,
59448,"El Cuento Semanal","Espíritu puro",,
59449,"El Cuento Semanal","Mientras las horas duermen",,
59450,"El Cuento Semanal","Madrid goyesco",,
59451,"El Cuento Semanal","Mundo subterráneo",,
59452,"El Cuento Semanal","La muestra",,
59453,"El Cuento Semanal","El gran simpático",,
59454,"El Cuento Semanal","Gerona",,
59455,"El Cuento Semanal","Las insaciables",,
59456,"El Cuento Semanal","Historia romántica",,
59457,"Ediciones Libertad","Un periodista",,
59458,"Ediciones Libertad","Abel mató a Caín",,
59459,"Ediciones Libertad","Noche roja. La tragedia rusa",,
59460,"Ediciones Libertad","El enchufista...",,
59461,"Ediciones Libertad","¿Dónde está Dios?",,
59462,"El Cuento Semanal","El Niño de los Caireles",,
59463,"Ediciones Libertad","La ley de fugas",,
59464,"Ediciones Libertad","Infamias",,
59465,"La Novela Roja","El nihilista",,
59468,"La Novela Roja","Un criminal",,
59469,"El Cuento Semanal","La sonrisa de la Gioconda. El último minué. La historia de Otelo",,
59470,"El Cuento Semanal","Desencanto",,
59473,"El Cuento Semanal","La guitarra. Drama en tres actos",,
59474,"El Cuento Semanal","La maldita culpa",,
59475,"El Cuento Semanal","Aventura",,
59476,"El Cuento Semanal","La cita",,
59477,"El Cuento Semanal","Reveladoras",,
59478,"El Cuento Semanal","El alma viajera",,
59479,"El Cuento Semanal","Cada uno",,
59480,"El Cuento Semanal","Una letra de cambio",,
59481,"El Cuento Semanal","Guillermo el apasionado",,
59482,"El Cuento Semanal","Del Rastro a Maravillas",,
59483,"El Cuento Semanal","La soledad del campo",,
59484,"El Cuento Semanal","La caravana",,
59485,"El Cuento Semanal","Historia de una reina",,
59486,"El Cuento Semanal","Un sueño",,
59487,"El Cuento Semanal","Ni amor ni arte",,
59488,"El Cuento Semanal","La espuma del champagne. Comedia en un acto",,
59489,"Ediciones Libertad","La caída del dictador",,
59491,"Ediciones Libertad","Las ánimas benditas",,
59493,"Ediciones Libertad","Las calaveras de plomo",,
59495,"Ediciones Libertad","¡Pero mató a un burgués!",,
59496,"Ediciones Libertad","Mi dama y mi ""star""",,
59498,"Ediciones Libertad","El confidente",,
59499,"Ediciones Libertad","A tiro limpio",,
59500,"Ediciones Libertad","La bomba",,
59502,"Ediciones Libertad","Un ensayo revolucionario",,
59503,"El Cuento Semanal","Al ""Jallo""",,
59504,"El Cuento Semanal","Almas errantes",,
59505,"El Cuento Semanal","Artemisa",,
59506,"El Cuento Semanal","La ciencia del dolor",,
59507,"El Cuento Semanal","Cómo murió Arriaga",,
59509,"El Cuento Semanal","Confesión",,
59511,"El Cuento Semanal","La conquista del jándalo",,
59512,"El Cuento Semanal","El corazón de Jesús",,
59513,"El Cuento Semanal","Deuda pagada",,
59514,"El Cuento Semanal","De corazón en corazón",,
59515,"El Cuento Semanal","El ""Dies Irae"" de San Huberto",,
59517,"El Cuento Semanal","Don Claudio",,
59519,"El Cuento Semanal","La espada",,
59521,"El Cuento Semanal","Frente al mar",,
59522,"El Cuento Semanal","El fin de una leyenda",,
59523,"El Cuento Semanal","Un hombre serio",,
59524,"El Cuento Semanal","Las hijas de don Juan",,
59525,"El Cuento Semanal","La leyenda del gaucho",,
59527,"El Cuento Semanal","El literato",,
59530,"Ediciones Libertad","El traidor. Novela revolucionaria caucasiana",,
59532,"Ediciones Libertad","La lucha del soldado rojo",,
59534,"Ediciones Libertad","El crimen de los kulaks",,
59536,"Ediciones Libertad","La muerte del revolucionario Tadjik",,
59538,"Ediciones Libertad","¡La guerra que viene!",,
59539,"Ediciones Libertad","El agente confidencial",,
59540,"Ediciones Libertad","¡Resignación, hermanos!",,
59545,"El Cuento Semanal","El pecado original",,
59546,"El Cuento Semanal","Senderos de vida",,
59547,"El Cuento Semanal","Rivales",,
59548,"El Cuento Semanal","Torre de marfil",,
59549,"El Cuento Semanal","La sombra de la madre",,
59550,"El Cuento Semanal","Nuevo coloquio de los perros",,
59551,"El Cuento Semanal","La princesita de pan y miel",,
59552,"El Cuento Semanal","Noche perdida",,
59554,"El Cuento Semanal","El solar de la bolera",,
59555,"El Cuento Semanal","Del camino",,
59556,"El Cuento Semanal","La senda estéril",,
59558,"El Cuento Semanal","Viendo la vida",,
59559,"El Cuento Semanal","Nómada",,
59560,"El Cuento Semanal","Nobleza obliga",,
59562,"El Cuento Semanal","El paralítico",,
59563,"El Cuento Semanal","Por dónde viene la dicha",,
59565,"El Cuento Semanal","Las posadas del amor",,
59622,"Tip. de la Casa Ed. Maucci","México y sus gobernantes de 1519 a 1910. Biografías, retratos y autógrafos (iconografía completa), con una reseña histórica anterior al descubrimiento y conquista",,
59623,"(Imp. de Bernabé Fernández)","La pastora del Guadiela. Novela original",,
59624,"Maucci","La senda del Calvario. Nueva y completa Semana Santa en prosa y verso: las siete palabras: oraciones para la Santa Misa, en prosa, oraciones para la mañana y la noche ...",,
59625,"Fidel Giró","América y sus mujeres. Estudios hechos sobre el terreno",,
59626,"(Imp. de Henrich y Cía.)","América en fin de siglo. Actualidades, sucesos, apreciaciones, semblanzas, datos históricos",,
59627,"(Imp. ""Las Noticias"")","El camino de la cruz. Poema religioso. Las siete palabras",,
59628,"[s.n.]","Americanos célebres. Glorias del Nuevo Mundo",,
59629,"(Tip. de Walder)","Alfonso el Grande. Poema histórico dedicado a S.M. la Reina Dª Isabel Segunda",,
59630,"Libr. de A. Bouret e Hijo","Almacén de las señoritas",,
59632,"Imp. y Libr. de Abundio Z. Menéndez","Colón. Poema",,
59634,"(Imp. y Fundición de M. Tello)","A San Juan de la Cruz. Poesía de doña Carolina Valencia, premiada en público certamen por la Real Academia Española y publicada a sus expensas",,
59637,"Libr. de Fernando Fe","Mis cantares",,
59638,"(R. Velasco, Imp.)","¡¡La estocá de la tarde!!  Zarzuela en un acto, dividido en cinco cuadros, en prosa",,
59641,"Ed. Libertad","¿Quo vadis, burguesía?",,
59644,"(Imp. de Salvador Manero)","Aurora y Felicidad. Novela de costumbres",,
59646,"(Imp. de Pedro Núñez)","El deber cumplido. Novela original",,
59647,"(Imp. de Francisco Macías)","La cadena rota. Drama en tres actos y en verso",,
59649,"(Estab. Tip. de R. Vicente)","Ángela o El ramillete de jazmines. Novela original",,
59650,"[La Violeta]","La Violeta. Revista hispano-americana. Literatura, ciencias, teatros y modas",,
59651,"Libr. de Miguel Guijarro","Los miserables de España o Secretos de la Corte. Novela de costumbres",,
